date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:30:10	943008/943008	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779949-e63a0%22	https://app.voidgame.io/assets/ton-c5OA6jml.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/ton-c5OA6jml.js	(from https://app.voidgame.io/)
02:30:11	14192/14192	---MCZ	200	added ('OK')	text/css	etag:W/%226877994d-3770%22	https://app.voidgame.io/assets/vendor-Bh76j7cs.css	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/vendor-Bh76j7cs.css	(from https://app.voidgame.io/)
02:30:12	11555/11555	---MCZ	200	added ('OK')	text/css	etag:W/%226877994b-2d23%22	https://app.voidgame.io/assets/swiper-CwSRrs7M.css	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/swiper-CwSRrs7M.css	(from https://app.voidgame.io/)
02:30:15	525887/525887	---MCZ	200	added ('OK')	text/css	etag:W/%2268779950-8063f%22	https://app.voidgame.io/assets/index-DvG4OZQn.css	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/index-DvG4OZQn.css	(from https://app.voidgame.io/)
02:30:15	79/79	---M--	404	error ('Not%20Found')	application/xml	etag:%22503EFE6752674E8A80CFE1072D34896E%22	https://static.okx.com/robots.txt		(from https://app.voidgame.io/)
02:30:16	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%22643037f1-16%22	https://xtonwallet.com/robots.txt		(from https://app.voidgame.io/)
02:30:17	196/196	---MC-	200	added ('OK')	text/css	date:Sun,%2020%20Jul%202025%2005:30:16%20GMT	https://fonts.googleapis.com/css?family=Mulish	/storage/emulated/0/HTTrack/Websites/teste/fonts.googleapis.com/cssbf88.css	(from https://xtonwallet.com/)
02:30:17	26080/26080	---M-Z	200	added ('OK')	text/css	etag:W/%22643037f1-65e0%22	https://xtonwallet.com/landingpage.css	/storage/emulated/0/HTTrack/Websites/teste/xtonwallet.com/landingpage.css	(from https://xtonwallet.com/)
02:30:18	3111/3111	---M--	200	added ('OK')	image/png	etag:%22643037f1-c27%22	https://xtonwallet.com/assets/img/icon-128.png	/storage/emulated/0/HTTrack/Websites/teste/xtonwallet.com/assets/img/icon-128.png	(from https://xtonwallet.com/)
02:30:20	2900/2900	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2005:30:19%20GMT	https://wallet.tg/robots.txt		(from https://app.voidgame.io/)
02:30:21	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221536-198183cb728%22	https://wallet.tg/favicon.ico	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/favicon.ico	(from https://wallet.tg/)
02:30:22	1373/1373	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255d-198183cb728%22	https://wallet.tg/icon.svg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/icon.svg	(from https://wallet.tg/)
02:30:23	2179/2179	---MCZ	200	added ('OK')	text/css	etag:W/%22883-198183d0548%22	https://wallet.tg/_next/static/css/e472fca44c85a8d2.css	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/css/e472fca44c85a8d2.css	(from https://wallet.tg/)
02:30:24	8187/8187	---MCZ	200	added ('OK')	text/css	etag:W/%221ffb-1980d74b0c0%22	https://wallet.tg/_next/static/css/7f1cb8a4d751f4de.css	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/css/7f1cb8a4d751f4de.css	(from https://wallet.tg/)
02:30:25	2118/2118	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22846-1978ce121f0%22	https://wallet.tg/_next/static/media/logo.b9d8fe49.svg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/logo.b9d8fe49.svg	(from https://wallet.tg/)
02:30:26	474/474	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221da-197eee59db8%22	https://wallet.tg/_next/static/media/chevron_down_22.b4be1167.svg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/chevron_down_22.b4be1167.svg	(from https://wallet.tg/)
02:30:31	122451/122451	---MCZ	200	added ('OK')	image/png	etag:W/%221de53-1980d74a508%22	https://wallet.tg/_next/static/media/Send_2x.8faa1d35.png	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Send_2x.8faa1d35.png	(from https://wallet.tg/)
02:30:32	63570/63570	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22f852-198183cf990%22	https://wallet.tg/_next/static/media/Receive_1x.368da94d.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Receive_1x.368da94d.jpg	(from https://wallet.tg/)
02:30:32	38196/38196	---MCZ	200	added ('OK')	image/jpeg	etag:W/%229534-1978ce121f0%22	https://wallet.tg/_next/static/media/Buy_1x.6e85bb1e.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Buy_1x.6e85bb1e.jpg	(from https://wallet.tg/)
02:30:32	226188/226188	---MCZ	200	added ('OK')	image/png	etag:W/%223738c-198183cf990%22	https://wallet.tg/_next/static/media/Chat_1x.5fe57340.png	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Chat_1x.5fe57340.png	(from https://wallet.tg/)
02:30:33	45144/45144	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22b058-197eee59db8%22	https://wallet.tg/_next/static/media/Swap_1x.b94b2b7a.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Swap_1x.b94b2b7a.jpg	(from https://wallet.tg/)
02:30:34	53404/53404	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22d09c-197eee59db8%22	https://wallet.tg/_next/static/media/P2P_1x.1d69225f.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/P2P_1x.1d69225f.jpg	(from https://wallet.tg/)
02:30:34	64165/64165	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22faa5-1978ce121f0%22	https://wallet.tg/_next/static/media/Withdraw_1x.1972cdf8.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Withdraw_1x.1972cdf8.jpg	(from https://wallet.tg/)
02:30:35	819/819	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22333-198183cf990%22	https://wallet.tg/_next/static/media/arrow.4c44d7d1.svg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/arrow.4c44d7d1.svg	(from https://wallet.tg/)
02:30:36	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2020%20Jul%202025%2005:30:35%20GMT	https://fonts.googleapis.com/robots.txt		(from https://xtonwallet.com/)
02:31:58	110864/110864	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://app.voidgame.io/scripts/telegram-web-app.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/scripts/telegram-web-app.js	(from https://app.voidgame.io/)
02:31:58	243074/243074	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://app.voidgame.io/assets/sentry-DNlAlcfZ.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/sentry-DNlAlcfZ.js	(from https://app.voidgame.io/)
02:31:58	243053/243053	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://app.voidgame.io/assets/vendor-CBepUhJX.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/vendor-CBepUhJX.js	(from https://app.voidgame.io/)
02:31:58	1115825/1115825	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://app.voidgame.io/assets/index-BBKayO2b.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/index-BBKayO2b.js	(from https://app.voidgame.io/)
02:32:01	5430/5430	UR-MCZ	200	added ('OK')	image/x-icon	etag:W/%221536-198183cb728%22	https://wallet.tg/favicon.ico	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/favicon.ico	(from https://wallet.tg/)
02:32:05	38196/38196	UR-MCZ	200	added ('OK')	image/jpeg	etag:W/%229534-1978ce121f0%22	https://wallet.tg/_next/static/media/Buy_1x.6e85bb1e.jpg	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/_next/static/media/Buy_1x.6e85bb1e.jpg	(from https://wallet.tg/)
